"lemon64_name"	"lemon64_id"	"lemon64_slug"	"atari_legend_id"
"Curse of the Azure Bonds"	585	"curse-of-the-azure-bonds"	892
"Cutthroats"	591	"cutthroats"	3461
"Cybernoid: The Fighting Machine"	595	"cybernoid"	131
"Cybernoid II: The Revenge"	596	"cybernoid-2"	284
"Dalek Attack"	610	"dalek-attack"	899
"Daley Thompson's Olympic Challenge"	612	"daley-thompsons-olympic-challenge"	194
"Dan Dare III: The Escape"	618	"dan-dare-3"	905
"Dark Castle"	628	"dark-castle"	907
"Dark Fusion"	631	"dark-fusion"	1558
"Dark Side"	633	"dark-side"	288
"Darkman"	637	"darkman"	910
"Magazin, Das"	638	"magazin-das"	915
"Days of Thunder"	641	"days-of-thunder"	559
"Deadline"	645	"deadline"	919
"Deep, The"	656	"deep"	3427
"Defender of the Crown"	661	"defender-of-the-crown"	11
"Deflektor"	663	"deflektor"	110
"Deja Vu: A Nightmare Comes True"	664	"deja-vu"	929
"Deliverance: Stormlord II"	666	"deliverance-stormlord-2"	931
"Demon Blue"	669	"demon-blue"	933
"Dick Tracy"	688	"dick-tracy"	579
"Defenders of the Earth"	693	"defenders-of-the-earth"	542
"Die Hard 2: Die Harder"	723	"die-hard-2"	945
"Dizzy: Crystal Kingdom"	730	"dizzy-crystal-kingdom"	1532
"Dizzy: Fantasy World"	732	"dizzy-fantasy-world"	1035
"Kwik Snax"	733	"kwik-snax"	2071
"Dizzy: Magic Land"	734	"dizzy-magic-land"	2151
"Dizzy: Prince of the Yolkfolk"	736	"dizzy-prince-of-the-yolkfolk"	2458
"Dizzy: Spellbound"	737	"dizzy-spellbound"	2750
"Dizzy: Treasure Island"	738	"dizzy-treasure-island"	398
"Dizzy Dice"	739	"dizzy-dice"	4212
"Doctor Doom's Revenge"	742	"doctor-dooms-revenge"	973
"Dominator"	746	"dominator"	547
"Donald Duck's Playground"	747	"donald-ducks-playground"	1606
"Double Dragon"	752	"double-dragon"	240
"Double Dragon II: The Revenge"	753	"double-dragon-2"	959
"Double Dragon 3: The Rosetta Stone"	754	"double-dragon-3"	960
"Down at the Trolls"	758	"down-at-the-trolls"	2526
"Dragon Breed"	765	"dragon-breed"	571
"Dragon Ninja"	767	"dragon-ninja"	963
"Dragon Spirit"	769	"dragon-spirit"	967
"Dragons of Flame"	776	"dragons-of-flame"	1620
"Driller"	783	"driller"	172
"Duck Tales: The Quest for Gold"	790	"duck-tales"	976
"Count Duckula II"	792	"count-duckula-2"	1505
"Dynamite Düx"	803	"dynamite-dux"	362
"Dynasty Wars"	804	"dynasty-wars"	453
"Dyter-07"	805	"dyter-07"	539
"Edd the Duck!"	809	"edd-the-duck"	988
"Eliminator"	817	"eliminator"	87
"Elite"	818	"elite"	116
"Elvira: Mistress of the Dark"	820	"elvira-mistress-of-the-dark"	996
"Elvira: The Arcade Game"	821	"elvira-the-arcade-game"	1651
"Elvira II: The Jaws of Cerberus"	822	"elvira-2"	998
"Emlyn Hughes International Soccer"	826	"emlyn-hughes-international-soccer"	1652
"E-Motion"	827	"e-motion"	1001
"Star Wars: The Empire Strikes Back"	830	"star-wars-the-empire-strikes-back"	2797
"Enchanter"	831	"enchanter"	3460
"Encounter"	832	"encounter"	4848
"Enduro Racer"	833	"enduro-racer"	89
"Escape from the Planet of the Robot Monsters"	848	"escape-from-the-planet-of-the-robot-monsters"	523
"Eskimo Games"	851	"eskimo-games"	331
"Espionage"	852	"espionage"	532
"ESWAT"	854	"eswat"	1638
"Exile"	865	"exile"	1015
"Exolon"	867	"exolon"	190
"Exterminator"	870	"exterminator-audiogenic"	1019
"F1 Tornado"	872	"f1-tornado"	1023
"F-15 Strike Eagle"	873	"f-15-strike-eagle"	1024
"F-16 Combat Pilot"	874	"f-16-combat-pilot"	1026
"Fallen Angel"	884	"fallen-angel"	1034
"Famous Five, The: Five on a Treasure Island"	886	"famous-five-on-a-treasure-island"	1708
"Fast Food!"	890	"fast-food"	1038
"Fernandez Must Die"	899	"fernandez-must-die"	147
"Ferrari Formula One"	900	"ferrari-formula-one"	375
"Fiendish Freddy's Big Top 'o Fun"	905	"fiendish-freddys-big-top-o-fun"	1721
"Fighter Bomber"	908	"fighter-bomber"	1046
"Final Blow"	910	"final-blow"	1050
"Final Fight"	912	"final-fight"	1053
"Fire & Forget II: The Death Convoy"	915	"fire-and-forget-2"	1058
"First Samurai"	927	"first-samurai"	1747
"Fish!"	929	"fish"	1063
"Flimbo's Quest"	940	"flimbos-quest"	567
"Flintstones, The"	941	"flintstones"	217
"Flying Shark"	949	"flying-shark"	158
"Football Director"	950	"football-director"	316
"Football Manager"	951	"football-manager"	49
