"lemon64_name"	"lemon64_id"	"lemon64_slug"	"atari_legend_id"
"Silk Worm"	2311	"silk-worm"	2664
"Sim City"	2313	"sim-city"	442
"Sinbad and the Throne of the Falcon"	2316	"sinbad-and-the-throne-of-the-falcon"	29
"Skateball"	2323	"skateball"	2671
"Skull and Crossbones"	2332	"skull-and-crossbones"	2676
"Sky High Stuntman"	2333	"sky-high-stuntman"	3386
"Skyfox"	2339	"skyfox-electronic-arts"	2683
"Slap Fight"	2343	"slap-fight"	154
"Slayer"	2345	"slayer"	2688
"Sleepwalker"	2346	"sleepwalker-ocean"	2346
"Slightly Magic"	2349	"slightly-magic"	2692
"Sly Spy: Secret Agent"	2355	"sly-spy-secret-agent"	563
"Smash T.V."	2356	"smash-tv"	2701
"Snoball in Hell"	2360	"snoball-in-hell"	2703
"Snow Strike"	2363	"snow-strike"	498
"Soldier of Light"	2370	"soldier-of-light"	202
"Solomon's Key"	2373	"solomons-key"	166
"Sonic Boom"	2375	"sonic-boom"	2717
"Sooty & Sweep"	2377	"sooty-and-sweep"	3388
"Sorcerer"	2379	"sorcerer"	3449
"Space Crusade"	2384	"space-crusade"	2726
"Space Gun"	2386	"space-gun"	2727
"Space Harrier"	2387	"space-harrier"	2728
"Space Rogue"	2390	"space-rogue"	2737
"Speedball"	2405	"speedball"	189
"Speedball 2: Brutal Deluxe"	2406	"speedball-2"	15
"Spellbreaker"	2410	"spellbreaker"	3450
"Spellfire the Sorcerer"	2411	"spellfire-the-sorcerer"	2751
"Spherical"	2414	"spherical"	3765
"Spikey in Transylvania"	2417	"spikey-in-transylvania"	2756
"Spitting Image: The Computer Game"	2424	"spitting-image"	516
"Spy Who Loved Me, The"	2437	"spy-who-loved-me"	564
"Spy vs Spy"	2438	"spy-vs-spy"	129
"Spy vs Spy II: The Island Caper"	2439	"spy-vs-spy-2"	412
"Star Wars"	2459	"star-wars"	2797
"Starball"	2460	"starball"	5493
"Starbyte Super Soccer"	2462	"starbyte-super-soccer"	2860
"Starcross"	2463	"starcross"	3451
"Starglider"	2468	"starglider"	9
"Starquake"	2470	"starquake"	61
"StarRay"	2471	"starray"	121
"StarTrash"	2472	"startrash"	2796
"Stationfall"	2473	"stationfall"	3452
"Steel"	2475	"steel"	2798
"Steg the Slug"	2478	"steg-the-slug"	2800
"Steigar"	2479	"steigar"	2802
"Stone Age"	2485	"stone-age"	3294
"Stormlord"	2490	"stormlord"	2812
"Stratego"	2492	"stratego"	3392
"Street Fighter"	2495	"street-fighter"	227
"Street Fighter II"	2497	"street-fighter-2"	2820
"Street Gang"	2498	"street-gang"	64
"Strider"	2508	"strider"	2824
"Strider II"	2509	"strider-2"	2825
"Strike!"	2510	"strike"	280
"Strike Fleet"	2511	"strike-fleet"	3393
"Stunt Car Racer"	2518	"stunt-car-racer"	365
"Sub Battle Simulator"	2521	"sub-battle-simulator"	2837
"Subbuteo: The Computer Game"	2523	"subbuteo-the-computer-game"	479
"Summer Games"	2529	"summer-games"	2839
"Summer Games II"	2530	"summer-games-2"	2840
"Summer Olympiad"	2531	"summer-olympiad"	2841
"Super Cars"	2537	"super-cars"	413
"Super Cycle"	2538	"super-cycle"	2845
"Super Hang-On"	2542	"super-hang-on"	112
"Super Huey"	2543	"super-huey"	54
"Super Scramble Simulator"	2554	"super-scramble-simulator"	2854
"Super Seymour"	2555	"super-seymour"	2855
"Super Space Invaders"	2557	"super-space-invaders"	2862
"Super Sprint"	2559	"super-sprint"	113
"Super Stuntman"	2561	"super-stuntman"	2864
"Superstar Ice Hockey"	2571	"superstar-ice-hockey"	3400
"Supremacy"	2574	"supremacy"	2871
"Suspect"	2577	"suspect"	3453
"Suspended"	2578	"suspended"	3454
"Swap"	2580	"swap"	3402
"Switchblade"	2582	"switchblade"	2875
"SWIV"	2583	"swiv"	2878
"Sword and the Rose, The"	2585	"sword-and-the-rose"	2970
"Sword of Kadash"	2588	"sword-of-kadash"	3338
"Tai-Pan"	2593	"tai-pan"	4492
"Tau Ceti"	2608	"tau-ceti"	2894
"T-Bird"	2609	"t-bird"	2882
"TechnoCop"	2611	"technocop"	2899
"Teenage Mutant Hero Turtles: The Coin-Op!"	2612	"teenage-mutant-hero-turtles-the-coin-op"	3674
"Temple of Apshai Trilogy, The"	2614	"temple-of-apshai-trilogy"	2905
"Terminator 2: Judgment Day"	2618	"terminator-2"	2914
"Terramex"	2621	"terramex"	220
"Terrorpods"	2623	"terrorpods"	2917
"Terry's Big Adventure"	2624	"terrys-big-adventure"	383
"Test Drive"	2625	"test-drive"	2921
"Test Drive II: The Duel"	2626	"test-drive-2"	2922
"Tetris"	2627	"tetris-mirrorsoft"	132
"Thai Boxing"	2628	"thai-boxing"	4277
"Games, The: Summer Edition"	2630	"games-summer-edition"	2942
"Games, The: Winter Edition"	2631	"games-winter-edition"	2944
"Thomas the Tank Engine"	2637	"thomas-the-tank-engine"	5595
"Three Musketeers, The"	2638	"three-musketeers"	2926
"Thunder Blade"	2643	"thunder-blade"	2980
"Thunder Jaws"	2645	"thunder-jaws"	2986
"Thunderbirds"	2647	"thunderbirds-grandslam"	2979
"ThunderCats: The Lost Eye of Thundera"	2649	"thundercats"	69
"Tiger Road"	2653	"tiger-road"	2992
"Time Machine"	2656	"time-machine"	561
"Time Soldier"	2658	"time-soldier"	526
"Times of Lore"	2662	"times-of-lore"	3003
"Tintin on the Moon"	2663	"tintin-on-the-moon"	3005
"Titanic Blinky"	2664	"titanic-blinky"	3009
"To be on Top"	2665	"to-be-on-top"	3012
"Toki"	2669	"toki"	3013
"Tom & Jerry: Hunting High and Low"	2672	"tom-and-jerry"	3015
"Toobin'"	2676	"toobin"	380
"Top Cat: Beverly Hills Cats"	2678	"top-cat"	3020
"Top Gun"	2681	"top-gun"	215
"Total Eclipse"	2683	"total-eclipse"	283
"Total Recall"	2684	"total-recall"	3027
"Track Suit Manager"	2692	"track-suit-manager"	249
"Trailblazer"	2694	"trailblazer"	37
"TransWorld"	2699	"transworld"	4278
"Turbo Out Run"	2726	"turbo-out-run"	3068
"Turn 'n Burn"	2728	"turn-n-burn"	3069
"Turrican"	2729	"turrican"	487
"Turrican II: The Final Fight"	2730	"turrican-2"	7
"Tusker"	2732	"tusker"	457
"TV Sports Football"	2733	"tv-sports-football"	3079
"Twinworld"	2738	"twinworld"	3699
"Ultima III: Exodus"	2749	"ultima-3"	264
"Ultima IV: Quest of the Avatar"	2750	"ultima-4"	265
"Ultima V: Warriors of Destiny"	2751	"ultima-5"	3088
"Ultima VI: The False Prophet"	2752	"ultima-6"	3089
"UN Squadron"	2755	"un-squadron"	3098
"Uninvited"	2760	"uninvited"	3100
"Untouchables, The"	2761	"untouchables"	2971
"Uridium"	2766	"uridium"	150
"U.S.S. John Young"	2768	"uss-john-young"	584
"Vampire's Empire"	2773	"vampires-empire"	77
"Vector Ball"	2774	"vector-ball"	239
"Vermeer"	2781	"vermeer"	4236
"Victory Road"	2784	"victory-road"	225
"Vindicators"	2792	"vindicators"	3119
"Vixen"	2793	"vixen"	117
"Viz: The Game"	2794	"viz-the-game"	3125
"Volfied"	2796	"volfied"	3126
"Wacky Darts"	2802	"wacky-darts"	3135
"Wacky Races"	2803	"wacky-races"	3136
"War in Middle Earth"	2807	"war-in-middle-earth"	3141
"Wargame Construction Set"	2810	"wargame-construction-set"	3144
"Warhawk"	2812	"warhawk"	259
"Warlock: The Avenger"	2813	"warlock-the-avenger"	3147
"Weird Dreams"	2828	"weird-dreams"	314
"Welltris"	2829	"welltris"	3159
"Western Games"	2835	"western-games"	3162
"Who Framed Roger Rabbit"	2850	"who-framed-roger-rabbit"	3168
"Wild Streets"	2852	"wild-streets"	3586
"Winnie the Pooh in the Hundred Acre Wood"	2861	"winnie-the-pooh"	3178
"Winter Games"	2863	"winter-games"	3179
"Winter Olympiad 88"	2864	"winter-olympiad-88"	3180
"Winter Supersports 92"	2865	"winter-supersports-92"	3587
"Winzer"	2868	"winzer"	4234
"Wishbringer"	2869	"wishbringer"	3443
"Witness, The"	2871	"witness"	3445
"Wizard Warz"	2876	"wizard-warz"	3182
"Wizball"	2881	"wizball"	134
"Wonder Boy in Monsterland"	2887	"wonderboy-in-monsterland"	376
"World Cricket"	2890	"world-cricket"	3196
"World Games"	2894	"world-games"	3198
"Wrath of the Demon"	2898	"wrath-of-the-demon"	3204
"WWF European Rampage Tour"	2900	"wwf-european-rampage-tour"	3207
"WWF WrestleMania"	2901	"wwf-wrestlemania"	3209
"Xenomorph"	2906	"xenomorph"	3213
"Xenon"	2907	"xenon"	183
"Xenophobe"	2908	"xenophobe"	3216
"Xevious"	2909	"xevious"	59
"Xor"	2912	"xor"	141
"X-Out"	2913	"x-out"	411
"Xybots"	2915	"xybots"	3221
"Yogi Bear & Friends in the Greed Monster"	2922	"yogi-bear-and-friends-in-the-greed-monster"	470
"Yogi's Great Escape"	2923	"yogis-great-escape"	3225
"Zak McKracken and the Alien Mindbenders"	2928	"zak-mckracken"	3229
"Zombi"	2949	"zombi"	3322
"Zork I: The Great Underground Empire"	2956	"zork-1-the-great-underground-empire"	3440
"Zork II: The Wizard of Frobozz"	2957	"zork-2-the-wizard-of-frobozz"	3441
"Zork III: The Dungeon Master"	2958	"zork-3-the-dungeon-master"	3442
"Zynaps"	2966	"zynaps"	3243
"Battlezone"	2972	"battlezone"	703
"Cyberball: Football in the 21st Century"	2978	"cyberball-football-in-the-21st-century"	437
"3D Pool"	3012	"3d-pool"	293
"Black Gold"	3023	"black-gold-starbyte-software"	724
"Curse of RA"	3033	"curse-of-ra"	501
"Eye of Horus"	3045	"eye-of-horus"	540
"Fahrenheit 451"	3048	"fahrenheit-451"	4218
"Jagd auf Roter Oktober"	3074	"jagd-auf-roter-oktober"	1944
"Kick Off 2"	3076	"kick-off-2"	452
"Leonardo"	3078	"leonardo"	2103
"Liverpool: The Computer Game"	3079	"liverpool"	2117
"Pandora"	3085	"pandora"	178
"Power Struggle"	3088	"power-struggle"	2439
"Powerplay: The Game of the Gods"	3089	"powerplay"	2438
"Reederei"	3092	"reederei"	6082
"Rockford: The Arcade Game"	3094	"rockford-the-arcade-game"	71
"SDI: Strategic Defence Initiative"	3096	"sdi"	238
"SideArms"	3099	"sidearms"	2658
"Silent Service"	3100	"silent-service"	2662
"Space Harrier II"	3105	"space-harrier-2"	336
"Steve Davis Snooker"	3110	"steve-davis-snooker"	2804
"TankAttack"	3117	"tankattack"	349
"Teenage Mutant Hero Turtles"	3119	"teenage-mutant-hero-turtles"	576
"Wall$treet"	3126	"wallstreet"	757
"War Machine"	3127	"war-machine"	3143
"Volleyball Simulator, The"	3132	"volleyball-simulator"	3128
"Zero Gravity"	3136	"zero-gravity"	3235
"Return of the Mutant Camels"	3140	"return-of-the-mutant-camels"	83
"F.1 Manager"	3145	"f1-manager"	1022
"Alternate Reality: The City"	3160	"alternate-reality-the-city"	625
"Bundesliga Manager"	3167	"bundesliga-manager"	573
"Chessmaster 2000, The"	3170	"chessmaster-2000"	308
"Demon's Winter"	3172	"demons-winter"	935
"Donald's Alphabet Chase"	3173	"donalds-alphabet-chase"	5585
"Fighting Soccer"	3175	"fighting-soccer"	386
"Flight Simulator II"	3176	"flight-simulator-2"	1752
"Hellowoon: Das Geheimnis des Zauberstabs"	3181	"hellowoon"	4008
"Th!nk Cross"	3207	"think-cross"	3681
"Arcade Trivia Quiz"	3213	"arcade-trivia-quiz"	641
"Axe of Rage"	3215	"axe-of-rage"	687
"Cluedo"	3217	"cluedo"	849
"Football Manager 2"	3225	"football-manager-2"	124
"Football Manager: World Cup Edition"	3226	"football-manager-world-cup-edition"	38
"Fun School 2: For 6 to 8 year olds"	3227	"fun-school-2-for-6-to-8"	5168
"Heat Wave"	3235	"heat-wave"	1895
"President is Missing, The"	3247	"president-is-missing"	2453
"Rings of Zilfin"	3249	"rings-of-zilfin"	2549
"RISK: Disk Edition"	3250	"risk-disk-edition"	2552
"Sorcerer Lord"	3253	"sorcerer-lord"	262
"Spy vs Spy III: Arctic Antics"	3255	"spy-vs-spy-3"	428
"Time Scanner"	3257	"time-scanner"	307
"Titan"	3258	"titan"	278
"Turn It"	3262	"turn-it"	481
"Wizard's Crown"	3267	"wizards-crown"	3183
"Nightdawn"	3285	"nightdawn"	2305
"Riskant"	3295	"riskant"	3368
"Sat.1 Bingo"	3297	"sat-1-bingo"	5183
"Scramble Spirits"	3298	"scramble-spirits"	332
"Mission Genocide"	3311	"mission-genocide"	55
"Neuronics"	3312	"neuronics"	3332
"Wicked"	3361	"wicked"	303
"Willow"	3363	"willow"	3173
"World Championship Boxing Manager"	3373	"world-championship-boxing-manager"	3192
"World Championship Soccer"	3374	"world-championship-soccer"	3193
"World Soccer"	3375	"world-soccer"	475
"World Trophy Soccer"	3376	"world-trophy-soccer"	3200
"Vigilante"	3398	"vigilante"	3668
"Tass Times in Tone Town"	3416	"tass-times-in-tone-town"	19
"Tie-Break"	3438	"tie-break"	529
"Time and Magik"	3443	"time-and-magik"	3462
"Tolteka"	3458	"tolteka"	3014
"Tower Toppler"	3463	"tower-toppler"	86
"Transylvania"	3470	"transylvania"	3662
"Treasure Island"	3472	"treasure-island-windham-classics"	3042
"Trivial Pursuit: A New Beginning"	3475	"trivial-pursuit-a-new-beginning"	3055
"Eddie Edwards Super Ski"	3509	"eddie-edwards-super-ski"	222
"England Championship Special"	3510	"england-championship-special"	1006
"Fun School 3: For Under 5s"	3517	"fun-school-3-for-under-5s"	5167
"Fun School 4: For Under 5s"	3519	"fun-school-4-for-under-5s"	6158
"Gazza II"	3521	"gazza-2"	1097
"Gazza's Super Soccer"	3522	"gazzas-super-soccer"	455
"Ogre"	3526	"ogre"	2330
"Pirates of the Barbary Coast"	3527	"pirates-of-the-barbary-coast"	2407
"Strike Force Harrier"	3532	"strike-force-harrier"	2827
"Superman: The Man of Steel"	3534	"superman-the-man-of-steel"	2869
"Cool World"	3540	"cool-world"	864
"Saint & Greavsie"	3546	"saint-and-greavsie"	366
"Sargon III"	3552	"sargon-3"	2613
"Super Monaco Grand Prix"	3565	"super-monaco-grand-prix"	2852
"Bob Winner"	3586	"bob-winner"	749
"Championship Baseball"	3593	"championship-baseball"	4151
"Cricket Captain"	3597	"cricket-captain-d-h-games"	1522
"GFL Championship Football"	3613	"gfl-championship-football"	1105
"Myth"	3638	"myth"	3980
"Rings of Medusa"	3646	"rings-of-medusa"	534
"Trump Castle"	3655	"trump-castle"	3060
"European Football Champ"	3669	"european-football-champ"	1012
"MicroLeague Wrestling"	3720	"microleague-wrestling"	4027
"Portal"	3773	"portal-activision"	4436
"Starflight"	3781	"starflight"	2790
"Final Assault"	3804	"final-assault"	1726
"Galaxy Force"	3806	"galaxy-force"	1090
"Night Raider"	3815	"night-raider"	949
"Colonial Conquest"	3845	"colonial-conquest"	853
"Crazy Cars 2"	3849	"crazy-cars-2"	253
"Crazy Cars III"	3850	"crazy-cars-3"	879
"Diablo"	3852	"diablo"	75
"Warship"	3888	"warship"	3151
"Brian Clough's Football Fortunes"	3890	"brian-cloughs-football-fortunes"	1373
"Jet, The"	3894	"jet"	2011
"Motorbike Madness"	3898	"motorbike-madness"	2264
"Daily Double Horse Racing"	3910	"daily-double-horse-racing"	1550
"Cisco Heat"	3922	"cisco-heat"	841
"Mindfighter"	3940	"mindfighter"	2233
"Mini Golf"	3941	"mini-golf"	2234
"R.B.I. 2 Baseball"	3948	"rbi-2-baseball"	2508
"Mouse Trap"	4010	"mouse-trap"	126
"Ninja Rabbits"	4013	"ninja-rabbits"	5758
"Star Fleet I: The War Begins!"	4028	"star-fleet-1"	2789
"Windwalker: A Tale from Moebius"	4038	"windwalker-a-tale-from-moebius"	3176
"Maria's Xmas Box"	4059	"marias-xmas-box"	2173
"Pro Tennis Simulator"	4086	"pro-tennis-simulator"	450
"Jabato vs. Imperio: Libertad"	4103	"jabato-vs-imperio"	3906
"Diosa de Cozumel, La"	4105	"diosa-de-cozumel"	3903
"F1 GP Circuits"	4107	"f1-gp-circuits"	6466
"World Rugby"	4108	"world-rugby"	3595
"Gary Lineker's Hot Shot"	4109	"gary-linekers-hot-shot"	3660
"Vegas Gambler"	4115	"vegas-gambler"	3653
"Skyfox II: The Cygnus Conflict"	4119	"skyfox-2-the-cygnus-conflict"	2679
"Hunt for Red October, The"	4142	"hunt-for-red-october-simulation"	4290
"League Challenge"	4156	"league-challenge"	2085
"Bozuma: The Mystery of the Mummy "	4158	"bozuma-the-mystery-of-the-mummy"	5624
"Prince of Persia"	4179	"prince-of-persia"	2457
"Annals of Rome"	4219	"annals-of-rome"	367
"Bismarck"	4228	"bismarck"	722
"Blue Angels"	4230	"blue-angels"	90
"Emlyn Hughes Arcade Quiz"	4267	"emlyn-hughes-arcade-quiz"	1654
"HeroQuest: Return of the Witch Lord"	4287	"heroquest-return-of-the-witch-lord"	3630
"Shoe People, The"	4339	"shoe-people"	2965
"Stack Up"	4343	"stack-up"	2777
"Treble Champions"	4353	"treble-champions"	447
"World Class Rugby"	4362	"world-class-rugby"	3194
"Empire: Wargame of the Century"	4520	"empire-wargame-of-the-century"	1003
"Brimstone: The Dream of Gawain"	4531	"brimstone-the-dream-of-gawain"	4229
"Jaws"	4539	"jaws-screen-7"	304
"Lands of Havoc, The"	4541	"lands-of-havoc"	101
"Not a Penny More, Not a Penny Less"	4546	"not-a-penny-more-not-a-penny-less"	3737
"Sunny Shine"	4595	"sunny-shine-rainbow-arts"	4085
"Eye"	4623	"eye"	1020
